Slot #,Pack Qty,Availability,Item Name,Item ID,Crafting Chain,Market Vendors Covered,Loved Targets (Today),Liked Targets (Today),Bin Price,Store Price,Tags,Description
1,2,HAVE,Coconut Cream Pie,coconut_cream_pie,,,Landen,Hayden,,,"baked_dessert, food, inn_plate",
2,1,HAVE,Perfect Sapphire,perfect_sapphire,,,Olric,,,,"archaeology, gem, material, ore",
3,1,CRAFT,Apple Honey Curry,apple_honey_curry,"Apple Honey Curry [← 1× Apple, 1× Honey, 1× Curry Powder, 1× Sweet Potato, 1× Onion, 1× Rice]",,Caldarus,,,,"chef, food, simmered_dish",
4,1,HAVE,Dragon-Forged Core,dragon_forged_core,,,Seridia,,,,"blacksmithing, material, monster_part",
5,1,HAVE,Veggie Sub Sandwich,veggie_sub_sandwich,,,Ryis,,,,"food, hand_crafted_dish, inn_plate",
6,1,CRAFT,Ultimate Small Animal Feed,ultimate_small_animal_feed,"Ultimate Small Animal Feed [← 1× Grass Seed, 1× Water Chestnut, 1× Acorn, 1× Seaweed]",,Henrietta,,,,"animal_feed, milled_animal_feed, milling, ranching",
7,1,HAVE,Beer,beer,,,,March,,,"alcohol, drink, drink_sound",
8,1,HAVE,Cicada,cicada,,,,Dozy,,,bugs,
9,1,HAVE,Sweetroot,sweetroot,,,,Valen,,,"forageable, mines_forageable",
10,1,CRAFT,Fish Stew,fish_stew,"Fish Stew [← 1× Smallmouth Bass, 1× Red Snapper, 1× Wild Leek]",,,Errol,,,"cozy, fishy, food, no_inn_plate, stew",
11,1,HAVE,Cherry Tart,cherry_tart,,,,Elsie,,,"baked_dessert, food",
12,1,HAVE,Cauliflower,cauliflower,,,,Holt,,,crop,
13,1,CRAFT,Caramel Candy,caramel_candy,"Caramel Candy [← 1× Sugar, 1× Butter]",,,Dell,,,"candy, food",
14,1,CRAFT,Cod with Thyme,cod_with_thyme,Butter [← 2× Milk],,,Reina,,,"baked_dish, fishy, food",
15,1,HAVE,Wild Berry Pie,wildberry_pie,,,,Maple,,,"adept, baked_dessert, food, no_inn_plate",
16,1,HAVE,Praying Mantis,praying_mantis,,,,Luc,,,bugs,
17,1,HAVE,Breath of Flame,breath_of_fire,,,,Josephine,,,"forageable, mines_forageable",
18,1,HAVE,Snowdrop Anemone,snowdrop_anemone,,,,Balor,,,"flower, forageable",
19,1,HAVE,Wild Berry Scone,wildberry_scone,,,,Adeline,,,"adept, baked_dessert, food, no_inn_plate",
20,1,CRAFT,Pan-fried Snapper,pan_fried_snapper,"Pan-fried Snapper [← 1× Red Snapper, 1× Oil]",,,Terithia,,,"fishy, food, fried_dish, no_inn_plate",
21,1,HAVE,Crunchy Chickpeas,crunchy_chickpeas,,,,Hemlock,,,"food, snack",
22,1,UNAVAILABLE,Essence Blossom,essence_blossom,,,,Juniper,,,"forageable, mines_forageable",
